代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002149	西部材料	10.04	0.00	小金属	27775	7.38	--  	--  	453006	605	         10.65	9.91	8.11	8.11	0.087㈢	    69.57	357562912	  1.98	         34.50亿	陕西	7.45	7.89	267666	185340	  1.44	8.11	0	  7.68	
002167	东方锆业	10.00	0.00	小金属	35872	6.73	--  	--  	325469	397	          5.26	8.03	7.26	7.26	0.017㈣	   424.18	228841008	  1.62	         44.91亿	广东	6.96	7.03	183835	141634	  1.30	7.26	0	  7.64	
000545	金浦钛业	1.89	0.27	化工原料	600	3.70	--  	3.78	274390	5043	          2.86	3.50	3.83	3.78	0.082㈢	    34.51	103001128	  1.12	         36.27亿	吉林	3.72	3.75	127678	146712	  0.87	3.77	2355	 -0.48	
000962	东方钽业	1.59	0.13	小金属	587	7.55	--  	7.66	158152	984	          3.59	5.70	7.98	7.66	0.008㈢	   764.97	122075104	  1.11	         33.77亿	宁夏	7.60	7.72	75828	82324	  0.92	7.65	102	 -0.77	
600456	宝钛股份	1.18	0.90	小金属	203	21.04	--  	21.40	183235	1015	          4.26	5.34	22.17	21.40	0.225㈢	    71.33	396152736	  1.53	         92.08亿	陕西	21.80	21.62	94514	88721	  1.07	21.39	458	  0.06	
000709	河钢股份	1.17	0.00	普钢	6257	3.42	--  	3.45	1263892	4803	          1.19	2.05	3.49	3.45	0.317㈢	     8.15	436637632	  1.09	        366.28亿	河北	3.44	3.45	636585	627306	  1.01	3.44	15672	 -1.19	
002136	安 纳 达	1.17	0.46	化工原料	90	8.52	--  	8.66	59897	1030	          2.80	2.69	8.75	8.66	0.310㈢	    20.92	51773712	  1.14	         18.51亿	安徽	8.58	8.64	31556	28341	  1.11	8.65	76	 -1.20	
002140	东华科技	1.10	-0.26	建筑施工	2462	7.31	--  	7.40	67410	463	          1.53	3.56	7.57	7.38	0.267㈢	    20.75	50132144	  1.15	         32.44亿	安徽	7.35	7.44	33514	33896	  0.99	7.38	536	 -1.27	
002386	天原集团	0.80	0.00	化工原料	229	6.26	--  	6.32	156539	2509	          2.33	2.39	6.41	6.32	0.190㈢	    24.92	99177344	  1.01	         42.45亿	四川	6.27	6.34	77855	78683	  0.99	6.31	1201	 -1.57	
000635	英 力 特	0.54	0.11	化工原料	83	9.21	--  	9.33	76044	524	          2.51	2.48	9.44	9.32	0.292㈢	    23.91	70979232	  1.47	         28.25亿	宁夏	9.30	9.33	43452	32592	  1.33	9.32	406	 -1.83	
002601	龙蟒佰利	0.49	-0.06	化工原料	87	14.15	--  	14.25	165555	3550	          2.35	3.17	14.60	14.25	0.980㈢	    11.02	238029600	  1.17	        100.54亿	河南	14.21	14.38	81153	84401	  0.96	14.24	794	 -1.87	
002145	中核钛白	0.49	0.49	化工原料	2059	4.01	--  	4.08	416474	6103	          4.16	2.96	4.13	4.08	0.253㈣	    16.11	169786320	  1.02	         40.81亿	甘肃	4.06	4.08	203075	213399	  0.95	4.07	3809	 -1.87	
000629	攀钢钒钛	0.27	0.00	小金属	28123	3.64	--  	3.69	2142830	15799	          4.50	5.18	3.83	3.68	0.238㈢	    11.58	795473472	  1.27	        175.43亿	四川	3.70	3.71	1153958	988871	  1.17	3.68	8644	 -2.09	
数据来源:通达信
