代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
002421	达实智能	5.29	0.46	软件服务	3000	4.14	--  	4.38	806016	11095	          4.75	8.41	4.49	4.38	0.082㈢	    40.10	348085504	  1.87	         74.28亿	深圳	4.18	4.32	354979	451036	  0.79	4.37	1965	  2.92	
002178	延华智能	5.00	0.46	建筑施工	535	4.29	--  	4.41	649623	2569	          9.15	7.86	4.62	4.41	0.025㈢	   133.71	291145312	  2.97	         31.31亿	上海	4.29	4.48	349818	299804	  1.17	4.40	1190	  2.64	
000786	北新建材	4.46	0.40	其他建材	194	19.10	--  	19.90	362419	2624	          2.56	7.09	20.45	19.89	1.160㈢	    12.34	719646656	  1.16	        281.24亿	北京	19.10	19.86	193504	168914	  1.15	19.89	133	  2.10	
002652	扬子新材	2.83	0.20	其他建材	403	4.88	--  	5.08	186965	2036	          3.67	6.07	5.18	5.08	0.096㈢	    39.80	93899352	  0.87	         25.88亿	江苏	4.93	5.02	89739	97225	  0.92	5.07	15	  0.47	
002169	智光电气	2.24	-0.21	电气设备	222	4.47	--  	4.57	304357	1085	          4.05	5.83	4.73	4.56	0.106㈢	    32.22	139572256	  1.31	         34.24亿	广东	4.52	4.59	155072	149285	  1.04	4.56	1425	 -0.12	
600590	泰豪科技	1.40	0.46	电气设备	3	6.45	--  	6.52	146163	964	          1.78	2.95	6.64	6.52	0.186㈢	    26.30	95499184	  1.08	         53.61亿	江西	6.45	6.53	78386	67776	  1.16	6.51	343	  0.28	
300300	汉鼎宇佑	1.11	0.08	软件服务	9	11.67	--  	11.83	137964	1061	          2.47	4.79	12.23	11.82	0.201㈢	    44.21	164791168	  1.03	         66.09亿	浙江	12.22	11.94	71859	66105	  1.09	11.82	269	 -1.25	
000012	南 玻Ａ	0.80	0.20	玻璃	1993	4.98	--  	5.01	364513	1884	          2.05	2.62	5.11	5.01	0.170㈢	    22.93	183887376	  1.04	         88.93亿	深圳	5.00	5.04	177019	187493	  0.94	5.00	285	 -1.56	
600586	金晶科技	0.59	0.00	玻璃	2087	3.38	--  	3.41	268510	3248	          1.86	2.95	3.48	3.41	0.171㈢	    14.99	91770176	  1.03	         49.25亿	山东	3.42	3.42	142604	125905	  1.13	3.40	2338	 -0.53	
002082	万邦德	0.57	0.00	铝	102	8.64	--  	8.79	70210	450	          2.95	3.78	8.97	8.78	0.216㈢	    30.54	61656592	  1.41	         20.90亿	浙江	8.67	8.78	37995	32215	  1.18	8.78	584	 -1.79	
300343	联创互联	0.55	0.27	互联网	652	7.20	--  	7.32	464865	5750	         11.62	5.50	7.60	7.31	0.270㈢	    22.45	343561376	  0.70	         29.25亿	山东	7.35	7.39	241513	223352	  1.08	7.31	1034	 -1.81	
000619	海螺型材	0.50	0.17	其他建材	616	5.97	--  	6.01	73199	906	          2.03	2.34	6.11	6.01	0.013㈢	   355.76	44224180	  1.34	         21.64亿	安徽	6.00	6.04	39280	33918	  1.16	6.00	144	 -1.86	
002165	红 宝 丽	0.45	0.22	化工原料	1324	4.49	--  	4.51	58932	778	          1.12	2.45	4.60	4.51	0.041㈢	    83.01	26845670	  0.94	         23.78亿	江苏	4.50	4.56	27274	31657	  0.86	4.50	498	 -1.92	
002163	中航三鑫	0.34	0.34	装修装饰	284	5.77	--  	5.85	159707	1221	          1.99	3.78	5.99	5.84	-0.057㈢	--  	93258808	  1.03	         46.92亿	深圳	5.77	5.84	92582	67125	  1.38	5.84	642	 -2.02	
000055	方大集团	0.31	0.00	其他建材	1629	6.32	--  	6.41	448250	2814	          6.61	2.98	6.51	6.40	1.910㈣	     3.20	287590304	  0.95	         43.41亿	深圳	6.43	6.42	252230	196019	  1.29	6.40	857	 -2.05	
