代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002157	正邦科技	10.04	0.00	饲料	19681	12.12	--  	--  	894186	634	          4.14	6.89	12.93	12.93	0.020㈢	   651.87	1127549440	  0.70	        279.31亿	江西	12.57	12.61	488864	405321	  1.21	12.93	0	  7.68	
002321	华英农业	5.94	-0.12	农业综合	848	7.32	--  	7.67	392553	5689	          7.39	6.63	7.80	7.67	0.166㈢	    34.61	298033472	  1.21	         40.73亿	河南	7.35	7.59	195333	197219	  0.99	7.66	138	  3.57	
002385	大北农	3.29	0.25	饲料	4602	4.00	--  	4.08	975680	8431	          3.65	4.56	4.18	4.08	0.104㈢	    29.47	399397824	  1.19	        109.16亿	北京	4.00	4.09	439797	535882	  0.82	4.07	64	  0.93	
002477	雏鹰农牧	2.46	0.00	农业综合	7851	2.41	--  	2.51	2359465	36194	         11.97	6.56	2.57	2.50	-0.277㈢	--  	590545024	  0.88	         49.27亿	河南	2.44	2.50	1051147	1308318	  0.80	2.50	13946	  0.09	
300087	荃银高科	2.45	0.25	种植业	131	7.75	--  	7.96	120892	2655	          3.43	2.58	7.95	7.95	-0.094㈢	--  	95251592	  1.22	         27.98亿	安徽	7.79	7.88	63173	57719	  1.09	7.95	268	  0.08	
000735	罗 牛 山	2.34	-0.28	农业综合	4914	13.11	--  	13.58	1380111	33212	         13.02	4.68	13.73	13.57	0.338㈢	    30.07	1851764608	  1.05	        143.79亿	海南	13.20	13.42	676054	704056	  0.96	13.57	3383	 -0.03	
600803	新奥股份	2.29	-0.08	农药化肥	298	11.40	--  	11.61	362397	2063	          2.95	4.14	11.87	11.60	0.880㈢	    10.34	421499616	  1.40	        142.61亿	河北	11.44	11.63	188581	173816	  1.08	11.60	350	  1.17	
002170	芭田股份	2.17	0.71	农药化肥	1758	4.15	--  	4.23	405640	8742	          6.20	3.14	4.28	4.23	0.007㈢	   478.38	171374432	  0.80	         27.69亿	深圳	4.16	4.22	193990	211649	  0.92	4.22	29	 -0.19	
600143	金发科技	1.52	0.37	塑料	247	5.26	--  	5.37	344101	4262	          1.34	5.11	5.53	5.36	0.241㈢	    16.69	186452512	  1.23	        137.22亿	广东	5.30	5.42	184681	159420	  1.16	5.36	179	  0.39	
000667	美好置业	1.45	0.72	全国地产	1528	2.77	--  	2.80	397648	1434	          1.57	2.90	2.85	2.80	0.097㈣	    28.80	111625888	  1.17	         71.12亿	云南	2.77	2.81	164249	233399	  0.70	2.79	8189	 -0.92	
600371	万向德农	1.35	0.13	种植业	124	7.42	--  	7.51	76795	1239	          3.41	3.24	7.66	7.50	0.147㈢	    38.33	57888072	  1.19	         16.88亿	黑龙江	7.50	7.54	34626	42168	  0.82	7.50	61	  0.23	
300106	西部牧业	1.29	0.32	农业综合	2163	6.16	--  	6.30	108470	821	          5.14	4.82	6.46	6.30	0.109㈢	    43.45	68483400	  0.99	         13.30亿	新疆	6.20	6.31	49946	58524	  0.85	6.29	1044	 -1.08	
000902	新洋丰	1.26	0.63	农药化肥	175	9.41	--  	9.62	222244	2494	          1.89	4.00	9.79	9.62	0.564㈢	    12.79	212879712	  1.31	        112.83亿	湖北	9.59	9.58	109809	112434	  0.98	9.61	114	 -1.10	
002783	凯龙股份	1.13	0.25	化工原料	33	7.94	--  	8.08	81807	1007	          3.17	4.01	8.26	8.07	0.302㈢	    20.07	66286888	  1.02	         20.82亿	湖北	8.00	8.10	38849	42957	  0.90	8.07	130	 -1.24	
002215	诺 普 信	1.12	0.00	农药化肥	1483	6.26	--  	6.31	203224	1366	          2.80	2.40	6.41	6.31	0.324㈢	    14.61	128707440	  1.05	         45.76亿	深圳	6.27	6.33	95477	107746	  0.89	6.30	1070	 -1.24	
600075	新疆天业	0.95	0.00	化工原料	597	5.25	--  	5.33	173991	696	          2.09	3.04	5.41	5.32	0.324㈢	    12.32	92641296	  1.17	         44.28亿	新疆	5.28	5.32	81078	92912	  0.87	5.32	1057	 -0.17	
002910	庄园牧场	0.94	0.08	乳制品	196	12.82	--  	12.93	72600	716	          9.80	2.19	13.10	12.92	0.339㈣	    38.10	93994704	  0.98	          9.58亿	甘肃	12.82	12.95	37540	35059	  1.07	12.92	32	 -1.43	
600354	敦煌种业	0.93	0.23	种植业	1116	4.31	--  	4.36	200940	2524	          3.81	2.55	4.42	4.36	-0.235㈢	--  	87683768	  1.08	         23.01亿	甘肃	4.33	4.36	102859	98080	  1.05	4.35	2218	 -0.20	
000713	丰乐种业	0.70	0.35	种植业	857	5.74	--  	5.79	160198	1456	          5.36	2.61	5.89	5.79	-0.070㈢	--  	93306448	  1.29	         17.30亿	安徽	5.78	5.82	79748	80450	  0.99	5.78	1139	 -1.67	
300189	神农基因	0.64	0.00	种植业	1478	3.12	--  	3.17	208004	960	          2.36	2.55	3.20	3.16	0.033㈢	    71.34	65748472	  0.87	         27.89亿	海南	3.18	3.16	110787	97216	  1.14	3.16	3306	 -1.73	
300387	富邦股份	0.59	0.00	化工原料	335	6.68	--  	6.77	67782	526	          2.35	2.67	6.86	6.77	0.226㈢	    22.46	45928100	  0.92	         19.51亿	湖北	6.69	6.78	38613	29168	  1.32	6.76	665	 -1.77	
002539	云图控股	0.57	0.19	农药化肥	551	5.21	--  	5.27	169144	2104	          2.79	2.10	5.32	5.26	0.139㈢	    28.29	89180712	  0.93	         31.85亿	四川	5.25	5.27	91881	77262	  1.19	5.26	1944	 -1.79	
000998	隆平高科	0.57	0.32	种植业	532	15.63	--  	15.80	200885	754	          2.08	3.18	16.13	15.79	0.060㈢	   201.94	320053568	  1.14	        152.41亿	湖南	15.72	15.93	91314	109571	  0.83	15.79	485	 -1.79	
002588	史丹利	0.41	0.00	农药化肥	1502	4.82	--  	4.86	196889	705	          2.70	2.89	4.96	4.86	0.170㈢	    21.46	96179912	  1.08	         35.46亿	山东	4.85	4.88	106255	90634	  1.17	4.85	422	 -1.95	
002041	登海种业	0.16	0.00	种植业	1824	6.20	--  	6.28	161648	352	          1.85	3.83	6.44	6.27	0.006㈢	   750.95	102168384	  1.17	         54.79亿	山东	6.32	6.32	73268	88379	  0.83	6.27	787	 -2.20	
000860	顺鑫农业	0.07	0.02	白酒	286	42.20	--  	43.31	135902	533	          2.38	6.10	44.84	43.30	0.940㈢	    34.55	591651200	  1.44	        247.07亿	北京	43.10	43.54	67542	68359	  0.99	43.30	120	 -2.30	
002509	天广中茂	-0.33	0.34	专用机械	4059	2.90	--  	2.99	1054758	8202	          4.98	6.69	3.10	2.98	0.104㈢	    21.47	316068288	  1.16	         63.09亿	福建	3.00	3.00	540857	513900	  1.05	2.98	6702	 -2.70	
002263	*ST东南	-0.52	0.00	塑料	8494	1.90	--  	1.92	448524	2713	          2.39	2.60	1.95	1.91	0.003㈢	   531.76	86298000	  0.85	         35.88亿	浙江	1.93	1.92	289902	158621	  1.83	1.91	9759	 -2.89	
002470	金正大	-0.76	0.26	农药化肥	381	7.75	--  	7.80	137025	388	          0.50	3.69	8.04	7.79	0.300㈢	    20.14	108396000	  1.18	        212.34亿	山东	7.85	7.91	72116	64909	  1.11	7.79	206	 -3.13	
数据来源:通达信
