代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000971	高升控股	10.11	0.00	互联网	132928	4.05	--  	--  	212829	412	          3.60	2.39	4.14	4.14	0.021㈢	   150.50	87846896	  0.39	         24.51亿	湖北	4.05	4.13	158635	54194	  2.93	4.14	0	  7.74	
600037	歌华有线	10.05	0.00	影视音像	64882	10.90	--  	--  	306784	346	          2.20	7.70	11.72	11.72	0.393㈢	    22.37	351976064	  2.26	        163.12亿	北京	11.40	11.47	166803	139981	  1.19	11.72	0	  8.93	
000977	浪潮信息	10.02	0.00	电脑设备	109822	22.27	--  	--  	1503209	1426	         11.66	6.68	23.71	23.71	0.289㈢	    61.60	3495555328	  2.39	        305.68亿	山东	23.40	23.25	833436	669773	  1.24	23.71	0	  7.66	
300366	创意信息	10.01	0.00	软件服务	21700	8.47	--  	--  	152515	333	          4.74	4.01	8.79	8.79	0.158㈢	    41.71	133606128	  0.91	         28.31亿	四川	8.51	8.76	120353	32161	  3.74	8.79	0	  7.65	
600756	浪潮软件	10.01	0.00	软件服务	54650	20.17	--  	--  	411468	412	         12.70	4.85	21.10	21.10	0.309㈢	    51.17	857275456	  1.80	         68.38亿	山东	21.10	20.83	218839	192628	  1.14	21.10	0	  8.89	
600536	中国软件	10.00	0.00	软件服务	22073	29.40	--  	--  	572197	848	         11.57	7.59	31.58	31.58	-0.485㈢	--  	1770019840	  1.44	        156.18亿	北京	29.66	30.93	282173	290023	  0.97	31.58	0	  8.87	
300017	网宿科技	9.96	0.00	电信运营	267248	11.60	--  	--  	2367446	1731	         12.31	1.96	11.81	11.81	0.252㈢	    35.13	2793327360	  1.97	        227.10亿	上海	11.81	11.80	1814149	553296	  3.28	11.81	0	  7.60	
300249	依米康	9.95	0.00	软件服务	43928	6.46	--  	--  	213078	379	          7.00	9.49	7.07	7.07	0.135㈢	    39.32	146507360	  2.05	         21.53亿	四川	6.47	6.88	96516	116561	  0.83	7.07	0	  7.59	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
000070	特发信息	6.47	-0.11	通信设备	475	15.66	--  	16.28	1081736	11568	         18.02	7.26	16.77	16.28	0.262㈢	    46.60	1752128256	  1.12	         97.73亿	深圳	16.00	16.20	552691	529044	  1.04	16.27	3132	  4.11	
002335	科华恒盛	5.60	0.22	电气设备	243	17.18	--  	18.15	92291	1324	          4.10	7.70	18.50	18.10	0.396㈢	    34.24	164343392	  2.03	         40.77亿	福建	17.18	17.81	38252	54039	  0.71	18.10	32	  3.24	
300168	万达信息	5.20	-0.41	软件服务	2889	13.56	--  	14.17	600851	5414	          5.51	8.25	14.67	14.16	0.150㈢	    76.82	839646656	  1.50	        154.52亿	上海	13.62	13.97	289039	311812	  0.93	14.16	169	  2.84	
300379	东方通	5.13	-0.13	软件服务	226	20.08	--  	20.91	169304	1290	          8.81	8.05	21.68	20.90	0.081㈢	   193.29	353326464	  1.15	         40.18亿	北京	20.08	20.87	81599	87704	  0.93	20.90	38	  2.77	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
600845	宝信软件	4.03	0.03	软件服务	23	29.50	--  	30.17	108154	882	          1.69	5.17	31.00	30.17	0.630㈢	    38.29	327332320	  1.38	        193.34亿	上海	29.50	30.27	36692	71462	  0.51	30.16	92	  2.91	
300383	光环新网	4.01	0.00	电信运营	140	17.30	--  	17.92	413575	2757	          3.02	5.05	18.17	17.91	0.330㈢	    43.53	736159744	  1.31	        244.88亿	北京	17.59	17.80	192679	220895	  0.87	17.91	20	  1.64	
600602	云赛智联	3.84	0.00	软件服务	1534	6.36	--  	6.49	171602	859	          1.66	4.96	6.67	6.49	0.133㈢	    36.68	112390032	  1.58	         67.07亿	上海	6.36	6.55	89505	82096	  1.09	6.48	718	  2.72	
002368	太极股份	3.60	0.04	软件服务	19	27.40	--  	28.21	240588	1413	          6.01	5.80	28.98	28.20	0.167㈢	   126.32	680156224	  1.75	        112.93亿	北京	28.00	28.27	103413	137174	  0.75	28.20	215	  1.24	
600410	华胜天成	3.57	0.83	软件服务	1597	7.07	--  	7.26	584483	3750	          5.32	5.86	7.48	7.25	0.046㈢	   117.09	424425440	  1.48	         79.66亿	北京	7.16	7.26	274834	309649	  0.89	7.25	486	  2.45	
600850	华东电脑	3.34	1.49	软件服务	2	19.23	--  	19.80	92256	1926	          2.18	4.91	20.17	19.80	0.600㈢	    25.02	181545504	  1.80	         83.95亿	上海	19.34	19.68	46509	45746	  1.02	19.69	220	  2.22	
