代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601689	拓普集团	6.58	0.91	汽车配件	453	18.94	--  	19.91	170850	1433	          6.98	7.76	20.39	19.91	0.848㈢	    17.60	337271840	  1.56	         48.71亿	浙江	18.94	19.74	88855	81994	  1.08	19.90	156	  5.46	
603197	保隆科技	5.29	0.00	汽车配件	26	23.49	--  	24.49	36259	90	          3.68	6.41	24.98	24.48	0.750㈢	    24.96	88285344	  1.27	         24.09亿	上海	23.62	24.35	14810	21449	  0.69	24.48	393	  4.17	
002913	奥士康	4.93	0.02	元器件	116	54.40	--  	56.00	97802	2628	         27.16	7.87	58.60	56.00	1.280㈢	    33.40	552035392	  1.62	         20.17亿	湖南	56.00	56.44	45666	52136	  0.88	55.99	45	  2.56	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
300598	诚迈科技	4.12	0.29	软件服务	377	23.66	--  	24.51	46227	743	          9.56	3.61	24.51	24.51	0.123㈢	   149.90	111793960	  1.21	         11.85亿	江苏	23.70	24.18	22048	24178	  0.91	24.50	10	  1.76	
002028	思源电气	4.06	-0.07	电气设备	390	11.56	--  	12.06	312827	2824	          5.39	5.95	12.25	12.06	0.315㈢	    28.69	373443232	  1.72	         69.97亿	上海	11.65	11.94	142462	170364	  0.84	12.05	119	  1.69	
002920	德赛西威	3.89	0.00	汽车配件	84	25.25	--  	26.17	47446	261	          3.88	6.08	26.78	26.16	0.615㈢	    31.91	124283872	  0.97	         31.99亿	广东	25.25	26.19	21502	25943	  0.83	26.16	27	  1.53	
300757	罗博特科	3.79	-0.07	专用机械	270	68.00	--  	71.00	50781	584	         25.39	6.55	72.48	70.99	0.799㈢	    66.67	355806720	  1.06	         14.20亿	江苏	68.00	70.07	22983	27798	  0.83	70.99	26	  1.42	
002368	太极股份	3.60	0.04	软件服务	19	27.40	--  	28.21	240588	1413	          6.01	5.80	28.98	28.20	0.167㈢	   126.32	680156224	  1.75	        112.93亿	北京	28.00	28.27	103413	137174	  0.75	28.20	215	  1.24	
603286	日盈电子	3.57	-0.50	汽车配件	27	15.13	--  	15.68	36250	1110	          7.92	4.29	15.78	15.68	0.173㈢	    67.81	55917476	  1.35	          7.17亿	江苏	15.18	15.43	15159	21091	  0.72	15.65	392	  2.45	
603386	广东骏亚	3.50	0.45	元器件	340	17.28	--  	18.03	122861	1372	         21.68	9.08	18.86	18.02	0.315㈢	    42.93	219524864	  1.50	         10.21亿	广东	17.51	17.87	58989	63872	  0.92	18.02	65	  2.38	
002055	得润电子	3.42	0.00	元器件	303	13.43	--  	13.92	197128	1607	          4.63	7.88	14.49	13.91	0.182㈢	    57.19	274360416	  1.31	         59.24亿	深圳	13.45	13.92	93460	103667	  0.90	13.91	357	  1.06	
