代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002175	东方网络	10.13	0.00	电器仪表	115483	4.20	--  	--  	429152	697	          7.16	3.80	4.35	4.35	-0.140㈢	--  	186371984	  0.82	         26.07亿	广西	4.35	4.34	357139	72012	  4.96	4.35	0	  7.76	
002343	慈文传媒	6.08	0.61	影视音像	524	10.66	--  	11.52	517651	6694	         12.87	8.29	11.56	11.52	0.517㈢	    16.72	569514624	  2.55	         46.33亿	浙江	11.03	11.00	255824	261826	  0.98	11.51	1287	  3.71	
002235	安妮股份	5.58	0.76	互联网	901	6.20	--  	6.63	776378	20910	         15.52	7.02	6.64	6.62	0.107㈢	    46.21	502824640	  1.22	         33.12亿	福建	6.30	6.48	355406	420972	  0.84	6.62	878	  3.22	
300431	暴风集团	4.52	-0.30	互联网	129	9.55	--  	9.73	421838	3507	         16.88	7.31	10.23	9.72	-0.710㈢	--  	420115168	  1.67	         24.29亿	北京	10.00	9.96	235452	186385	  1.26	9.72	204	  2.15	
002624	完美世界	3.62	-0.02	影视音像	2	30.00	--  	30.88	71450	271	          1.47	3.79	31.13	30.88	1.002㈢	    23.11	218548448	  1.20	        150.52亿	浙江	30.60	30.59	31876	39574	  0.81	30.85	70	  1.26	
300043	星辉娱乐	3.41	0.00	文教休闲	584	4.21	--  	4.26	402339	1859	          4.46	6.81	4.49	4.25	0.171㈢	    18.66	175920304	  1.87	         38.36亿	广东	4.35	4.37	190860	211478	  0.90	4.25	2090	  1.04	
600593	大连圣亚	3.36	1.32	旅游服务	13	29.73	--  	30.80	10144	250	          0.79	3.59	30.80	30.80	0.840㈢	    32.58	30516558	  0.90	         39.67亿	辽宁	29.92	30.08	3444	6700	  0.51	30.77	296	  2.23	
002717	岭南股份	3.08	0.23	环境保护	816	8.45	--  	8.70	301150	2893	          4.41	5.09	8.88	8.70	0.570㈢	    11.68	261901344	  1.61	         59.39亿	广东	8.47	8.70	137784	163365	  0.84	8.69	670	  0.72	
000793	华闻传媒	2.88	0.26	出版业	6053	3.85	--  	3.93	1529312	15184	          7.89	5.50	4.06	3.93	0.011㈢	   256.55	602117184	  0.83	         76.20亿	海南	3.86	3.94	774686	754625	  1.03	3.92	3623	  0.52	
600637	东方明珠	2.75	0.08	影视音像	768	11.90	--  	11.96	412139	3522	          1.21	4.81	12.46	11.96	0.440㈢	    20.38	498765184	  1.74	        408.37亿	上海	12.21	12.10	215235	196904	  1.09	11.95	381	  1.63	
601949	中国出版	2.66	0.00	出版业	988	5.20	--  	5.40	278469	3627	          6.94	8.37	5.64	5.40	0.129㈢	    31.45	151555680	  1.42	         21.65亿	北京	5.28	5.44	134007	144461	  0.93	5.39	131	  1.54	
002699	美盛文化	2.63	0.16	服饰	1060	6.11	--  	6.25	337911	4252	          4.27	4.93	6.41	6.25	0.124㈢	    37.68	212358672	  1.19	         49.41亿	浙江	6.15	6.28	158812	179099	  0.89	6.24	964	  0.26	
300027	华谊兄弟	2.39	0.18	影视音像	633	5.45	--  	5.57	823138	4946	          3.72	5.70	5.76	5.57	0.118㈢	    35.55	460324864	  1.37	        123.16亿	浙江	5.60	5.59	423586	399552	  1.06	5.56	2007	  0.03	
002292	奥飞娱乐	2.37	0.29	影视音像	1118	6.75	--  	6.92	434983	2371	          5.35	4.88	7.08	6.92	0.053㈢	    97.02	300290368	  1.46	         56.29亿	广东	6.88	6.90	192963	242019	  0.80	6.91	721	  0.00	
300315	掌趣科技	2.09	-0.50	互联网	5448	3.79	--  	3.91	1082797	4503	          4.18	6.28	4.03	3.90	0.187㈢	    15.62	425345536	  1.25	        101.00亿	北京	3.85	3.93	513715	569081	  0.90	3.90	2198	 -0.27	
300364	中文在线	2.03	0.00	出版业	226	5.42	--  	5.54	502493	3520	          9.36	8.86	5.90	5.53	0.050㈢	    83.01	280769984	  1.17	         29.67亿	北京	5.46	5.59	263159	239333	  1.10	5.53	4593	 -0.33	
300144	宋城演艺	1.89	-0.08	旅游景点	238	21.40	--  	22.14	213579	1302	          1.81	5.89	22.68	22.13	0.790㈢	    21.01	470665376	  1.27	        261.84亿	浙江	21.80	22.04	100352	113227	  0.89	22.13	387	 -0.48	
601098	中南传媒	1.80	0.74	出版业	10	13.29	--  	13.55	134524	1021	          0.75	3.01	13.69	13.55	0.484㈢	    20.99	181677312	  1.22	        243.36亿	湖南	13.44	13.51	80972	53552	  1.51	13.54	146	  0.68	
000892	欢瑞世纪	1.74	0.00	影视音像	194	5.17	--  	5.25	76885	143	          1.43	3.10	5.33	5.25	0.176㈢	    22.37	40309416	  0.99	         28.25亿	重庆	5.18	5.24	33224	43661	  0.76	5.24	416	 -0.62	
