代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002030	达安基因	6.75	0.00	生物制药	992	11.86	--  	12.50	357802	1950	          4.68	8.71	12.88	12.50	0.098㈢	    95.28	441462112	  1.61	         95.48亿	广东	11.86	12.34	165426	192376	  0.86	12.49	1455	  4.38	
600226	瀚叶股份	5.04	-0.26	农药化肥	5607	3.53	--  	3.76	2276107	25203	         11.42	11.20	3.93	3.75	0.068㈢	    41.45	842652160	  0.96	         74.73亿	浙江	3.60	3.70	1090396	1185710	  0.92	3.75	10588	  3.92	
000999	华润三九	3.69	0.31	中成药	2	25.24	--  	26.10	69123	964	          0.71	4.13	26.28	26.10	1.136㈢	    17.22	179177744	  1.43	        255.36亿	深圳	25.49	25.92	38657	30465	  1.27	26.09	184	  1.33	
600201	生物股份	2.86	0.37	生物制药	187	15.67	--  	16.16	453087	3318	          4.02	4.39	16.36	16.16	0.710㈢	    20.64	727221248	  1.23	        182.00亿	内蒙	15.84	16.05	234242	218844	  1.07	16.15	2395	  1.74	
600267	海正药业	2.59	0.19	化学制药	321	10.47	--  	10.71	303286	2154	          3.14	6.13	11.11	10.71	0.007㈢	  1090.27	326772384	  1.23	        103.41亿	浙江	10.64	10.77	154788	148498	  1.04	10.70	593	  1.46	
601607	上海医药	2.13	0.43	医药商业	122	18.41	--  	18.74	216848	1456	          1.13	2.62	18.89	18.74	1.190㈢	    11.85	405214656	  1.09	        360.36亿	上海	18.45	18.69	99839	117009	  0.85	18.73	120	  1.00	
002166	莱茵生物	2.03	0.00	中成药	448	7.40	--  	7.55	93480	577	          2.64	5.41	7.80	7.55	0.177㈢	    31.96	70766016	  1.10	         26.72亿	广西	7.40	7.57	44373	49106	  0.90	7.54	19	 -0.34	
002107	沃华医药	1.97	-0.11	中成药	50	8.10	--  	8.27	40775	1379	          1.17	3.33	8.37	8.27	0.127㈣	    65.35	33560576	  0.93	         28.80亿	山东	8.11	8.23	20558	20216	  1.02	8.26	740	 -0.39	
600673	东阳光科	1.93	0.34	铝	1760	8.83	--  	8.96	336782	1957	          1.37	3.19	9.11	8.96	0.320㈢	    24.17	302508384	  0.93	        220.32亿	广东	8.83	8.98	143492	193289	  0.74	8.95	2294	  0.81	
600513	联环药业	1.56	0.28	化学制药	52	7.05	--  	7.16	49731	166	          1.74	3.12	7.27	7.16	0.198㈢	    27.08	35626752	  1.16	         20.44亿	江苏	7.05	7.16	22929	26801	  0.86	7.15	232	  0.44	
600789	鲁抗医药	1.28	0.11	化学制药	3906	9.34	--  	9.48	501844	2983	          8.63	4.28	9.74	9.47	0.220㈢	    33.39	476871232	  1.04	         55.08亿	山东	9.38	9.50	235618	266226	  0.89	9.47	1119	  0.16	
600216	浙江医药	1.00	0.20	化学制药	804	10.01	--  	10.16	405133	2960	          4.24	3.88	10.40	10.15	0.540㈢	    14.28	413406592	  1.24	         97.03亿	浙江	10.10	10.20	210070	195062	  1.08	10.15	534	 -0.13	
600557	康缘药业	0.89	0.57	中成药	7	12.25	--  	12.45	64484	68	          1.08	2.92	12.61	12.45	0.515㈢	    18.12	80572784	  0.96	         74.52亿	江苏	12.41	12.50	31373	33110	  0.95	12.41	42	 -0.23	
300147	香雪制药	0.82	0.14	中成药	73	7.30	--  	7.40	167572	1375	          2.54	3.97	7.59	7.37	0.139㈢	    39.79	124832312	  1.51	         48.67亿	广东	7.34	7.45	81767	85805	  0.95	7.37	80	 -1.54	
300039	上海凯宝	0.65	0.21	中成药	5935	4.62	--  	4.67	171379	1451	          1.61	3.23	4.77	4.67	0.223㈢	    15.74	80450264	  1.13	         49.61亿	上海	4.67	4.69	91061	80317	  1.13	4.66	84	 -1.72	
000702	正虹科技	0.48	0.00	饲料	1206	6.31	--  	6.34	81605	385	          3.06	2.38	6.46	6.33	0.185㈢	    25.70	52076404	  0.81	         16.88亿	湖南	6.35	6.38	41221	40384	  1.02	6.33	1728	 -1.89	
002022	科华生物	0.18	0.18	医疗保健	146	11.00	--  	11.06	158230	636	          3.20	3.54	11.39	11.05	0.390㈢	    21.27	176759664	  1.26	         54.62亿	上海	11.06	11.17	85052	73177	  1.16	11.05	55	 -2.18	
002007	华兰生物	0.18	-0.17	生物制药	23	38.65	--  	38.90	183864	1169	          2.29	2.96	39.80	38.90	0.820㈢	    35.93	719289408	  0.95	        312.23亿	河南	38.81	39.12	88814	95049	  0.93	38.89	80	 -2.18	
600332	白云山	0.11	0.08	中成药	786	37.21	--  	37.69	289147	2333	          2.70	3.13	38.39	37.68	2.115㈢	    13.36	1093961216	  1.12	        403.62亿	广东	38.00	37.83	156214	132932	  1.18	37.68	65	 -1.02	
002603	以岭药业	0.00	0.00	中成药	94	12.31	--  	12.46	155622	1001	          1.57	3.29	12.72	12.45	0.466㈢	    20.05	195304976	  1.22	        123.18亿	河北	12.47	12.55	82055	73567	  1.12	12.45	1741	 -2.36	
600222	太龙药业	-0.23	-0.22	中成药	267	4.30	--  	4.35	119668	460	          2.11	3.22	4.44	4.34	0.010㈢	   330.82	52268376	  1.23	         24.60亿	河南	4.38	4.37	57545	62122	  0.93	4.34	264	 -1.35	
300434	金石东方	-0.39	0.10	化学制药	810	10.06	--  	10.29	93076	906	          4.64	5.14	10.59	10.28	0.165㈢	    46.80	96100464	  1.46	         20.64亿	四川	10.30	10.32	53386	39689	  1.35	10.28	104	 -2.75	
000739	普洛药业	-0.54	0.11	化学制药	80	9.04	--  	9.15	174774	539	          1.52	5.00	9.50	9.15	0.232㈢	    29.58	162095552	  1.23	        104.93亿	浙江	9.20	9.27	90696	84077	  1.08	9.14	439	 -2.91	
002680	*ST长生	-1.32	-0.65	生物制药	20584	1.44	--  	1.51	613849	3374	         10.57	5.26	1.52	1.50	0.259㈡	     2.90	91731752	  1.14	          8.71亿	江苏	1.49	1.49	302043	311805	  0.97	1.50	5782	 -3.68	
数据来源:通达信
