代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000876	新 希 望	10.03	0.00	饲料	21653	11.76	--  	--  	1226124	2450	          2.94	6.60	12.51	12.51	0.344㈢	    27.27	1513178112	  1.44	        522.35亿	四川	12.05	12.34	660785	565339	  1.17	12.51	0	  7.66	
300197	铁汉生态	9.93	0.00	环境保护	33263	4.40	--  	--  	1381418	1480	          9.21	10.61	4.87	4.87	0.160㈢	    22.86	659535936	  1.76	         73.01亿	深圳	4.50	4.77	695340	686077	  1.01	4.87	0	  7.57	
002321	华英农业	5.94	-0.12	农业综合	848	7.32	--  	7.67	392553	5689	          7.39	6.63	7.80	7.67	0.166㈢	    34.61	298033472	  1.21	         40.73亿	河南	7.35	7.59	195333	197219	  0.99	7.66	138	  3.57	
002385	大北农	3.29	0.25	饲料	4602	4.00	--  	4.08	975680	8431	          3.65	4.56	4.18	4.08	0.104㈢	    29.47	399397824	  1.19	        109.16亿	北京	4.00	4.09	439797	535882	  0.82	4.07	64	  0.93	
600506	香梨股份	3.20	1.04	种植业	168	11.15	--  	11.62	45326	1635	          3.07	4.88	11.70	11.62	-0.029㈢	--  	51781304	  1.23	         17.16亿	新疆	11.23	11.42	22128	23198	  0.95	11.59	194	  2.08	
002717	岭南股份	3.08	0.23	环境保护	816	8.45	--  	8.70	301150	2893	          4.41	5.09	8.88	8.70	0.570㈢	    11.68	261901344	  1.61	         59.39亿	广东	8.47	8.70	137784	163365	  0.84	8.69	670	  0.72	
002477	雏鹰农牧	2.46	0.00	农业综合	7851	2.41	--  	2.51	2359465	36194	         11.97	6.56	2.57	2.50	-0.277㈢	--  	590545024	  0.88	         49.27亿	河南	2.44	2.50	1051147	1308318	  0.80	2.50	13946	  0.09	
300087	荃银高科	2.45	0.25	种植业	131	7.75	--  	7.96	120892	2655	          3.43	2.58	7.95	7.95	-0.094㈢	--  	95251592	  1.22	         27.98亿	安徽	7.79	7.88	63173	57719	  1.09	7.95	268	  0.08	
000735	罗 牛 山	2.34	-0.28	农业综合	4914	13.11	--  	13.58	1380111	33212	         13.02	4.68	13.73	13.57	0.338㈢	    30.07	1851764608	  1.05	        143.79亿	海南	13.20	13.42	676054	704056	  0.96	13.57	3383	 -0.03	
002170	芭田股份	2.17	0.71	农药化肥	1758	4.15	--  	4.23	405640	8742	          6.20	3.14	4.28	4.23	0.007㈢	   478.38	171374432	  0.80	         27.69亿	深圳	4.16	4.22	193990	211649	  0.92	4.22	29	 -0.19	
300021	大禹节水	1.71	1.36	农业综合	100	5.80	--  	5.96	250278	9929	          3.86	2.73	5.96	5.96	0.072㈢	    62.26	147242288	  1.37	         38.64亿	甘肃	5.88	5.88	117776	132501	  0.89	5.93	775	 -0.66	
300159	新研股份	1.56	0.69	农用机械	1146	5.76	--  	5.87	412139	3465	          3.54	4.15	6.00	5.87	0.218㈢	    20.19	242208768	  0.94	         68.38亿	新疆	5.84	5.88	209003	203135	  1.03	5.86	870	 -0.81	
002505	大康农业	1.51	0.00	农业综合	5152	1.99	--  	2.03	803038	8296	          1.46	3.52	2.06	2.02	0.008㈢	   196.35	163360736	  0.71	        110.80亿	湖南	2.00	2.03	413187	389851	  1.06	2.02	10797	 -0.86	
