代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300158	振东制药	8.02	0.36	中成药	430	5.00	--  	5.52	468736	2370	          5.51	12.13	5.62	5.52	0.060㈢	    69.48	251188000	  2.24	         46.95亿	山西	5.00	5.36	228766	239970	  0.95	5.50	228	  5.66	
000819	岳阳兴长	5.69	0.75	石油加工	81	10.14	--  	10.78	148675	853	          5.48	10.59	11.22	10.78	0.154㈢	    52.61	157101728	  2.18	         29.25亿	湖南	10.28	10.57	69833	78841	  0.89	10.77	1137	  3.32	
000078	海王生物	4.61	0.47	生物制药	3424	4.03	--  	4.31	1301928	11848	          7.01	10.92	4.48	4.31	0.160㈢	    20.68	563158720	  1.37	         80.02亿	深圳	4.10	4.33	679833	622094	  1.09	4.30	5856	  2.25	
300436	广生堂	4.45	0.22	化学制药	10	26.57	--  	27.01	34146	543	          3.04	6.96	28.37	27.01	0.043㈢	   474.13	93183248	  2.03	         30.36亿	福建	28.37	27.29	18252	15893	  1.15	27.00	47	  2.08	
000518	四环生物	4.22	0.41	生物制药	3182	4.58	--  	4.95	629465	13466	          6.11	10.97	5.10	4.94	-0.009㈢	--  	302579296	  0.95	         50.86亿	江苏	4.59	4.81	301463	328002	  0.92	4.94	4196	  1.85	
002690	美亚光电	3.70	0.60	专用机械	181	24.37	--  	24.95	113635	607	          3.47	5.61	25.72	24.95	0.473㈢	    39.54	283333792	  1.58	         81.69亿	安徽	24.37	24.93	54747	58887	  0.93	24.94	245	  1.33	
000999	华润三九	3.69	0.31	中成药	2	25.24	--  	26.10	69123	964	          0.71	4.13	26.28	26.10	1.136㈢	    17.22	179177744	  1.43	        255.36亿	深圳	25.49	25.92	38657	30465	  1.27	26.09	184	  1.33	
600851	海欣股份	3.42	0.12	纺织	130	7.87	--  	8.17	94976	936	          1.29	4.68	8.24	8.17	0.086㈢	    71.26	76828208	  1.40	         60.31亿	上海	7.90	8.09	39338	55638	  0.71	8.16	318	  2.30	
600572	康恩贝	3.11	0.00	中成药	8140	7.90	--  	8.28	2202279	20452	          8.28	7.72	8.52	8.28	0.287㈢	    21.61	1793939584	  1.09	        220.30亿	浙江	8.19	8.15	1084690	1117588	  0.97	8.27	2847	  1.99	
600196	复星医药	3.00	0.24	化学制药	448	29.01	--  	29.58	628985	5302	          3.29	3.97	30.15	29.57	0.830㈢	    27.14	1856410752	  1.08	        564.94亿	上海	29.01	29.51	298666	330319	  0.90	29.57	246	  1.87	
600535	天士力	2.85	0.05	中成药	289	21.05	--  	21.31	208094	1464	          1.38	2.70	21.61	21.30	0.905㈢	    17.65	444387456	  1.29	        322.20亿	天津	21.19	21.36	99907	108186	  0.92	21.30	45	  1.73	
600664	哈药股份	2.65	0.71	化学制药	1648	4.15	--  	4.26	309968	5242	          1.24	3.37	4.29	4.26	0.096㈢	    33.19	131143672	  1.41	        106.80亿	黑龙江	4.16	4.23	135176	174791	  0.77	4.25	1024	  1.53	
600267	海正药业	2.59	0.19	化学制药	321	10.47	--  	10.71	303286	2154	          3.14	6.13	11.11	10.71	0.007㈢	  1090.27	326772384	  1.23	        103.41亿	浙江	10.64	10.77	154788	148498	  1.04	10.70	593	  1.46	
601607	上海医药	2.13	0.43	医药商业	122	18.41	--  	18.74	216848	1456	          1.13	2.62	18.89	18.74	1.190㈢	    11.85	405214656	  1.09	        360.36亿	上海	18.45	18.69	99839	117009	  0.85	18.73	120	  1.00	
300009	安科生物	2.12	0.06	生物制药	814	15.23	--  	15.41	197546	1311	          2.90	3.71	15.79	15.41	0.232㈢	    49.78	307253824	  1.03	        105.05亿	安徽	15.23	15.55	93939	103606	  0.91	15.40	214	 -0.24	
002004	华邦健康	2.06	0.00	化学制药	302	5.31	--  	5.46	263135	1228	          1.56	3.93	5.52	5.45	0.235㈢	    17.39	142969504	  1.74	         91.94亿	重庆	5.34	5.43	129004	134131	  0.96	5.45	876	 -0.30	
600422	昆药集团	2.06	0.27	中成药	572	7.31	--  	7.44	158658	1149	          2.09	3.98	7.60	7.44	0.340㈢	    15.98	118733264	  1.50	         56.45亿	云南	7.34	7.48	72213	86444	  0.84	7.43	742	  0.94	
600826	兰生股份	1.98	-0.25	商贸代理	31	11.35	--  	11.35	156106	3100	          3.71	2.96	11.68	11.35	0.565㈢	    15.06	179469216	  1.81	         47.74亿	上海	11.55	11.50	81847	74259	  1.10	11.34	1744	  0.86	
