代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002450	ST康得新	5.04	0.00	化工原料	296424	6.88	--  	--  	24844	481	          0.08	0.00	6.88	6.88	0.622㈢	     8.30	17092864	  0.02	        222.48亿	江苏	6.88	6.88	23202	1642	 14.13	6.88	0	  2.67	
002886	沃特股份	4.77	0.42	塑料	314	18.30	--  	19.12	77961	1147	         15.72	7.02	19.58	19.11	0.198㈢	    72.34	147849648	  1.68	          9.48亿	深圳	18.30	18.96	34244	43716	  0.78	19.11	23	  2.41	
002019	亿帆医药	3.87	0.34	化学制药	701	11.42	--  	11.81	331615	1628	          4.07	5.81	12.08	11.80	0.589㈢	    15.02	392937216	  1.62	         96.03亿	浙江	11.42	11.85	152063	179551	  0.85	11.80	826	  1.51	
300699	光威复材	2.23	0.21	化工原料	146	46.04	--  	47.20	57413	437	          2.50	3.62	47.71	47.19	0.840㈢	    42.19	270132576	  1.13	        108.43亿	山东	46.41	47.05	30930	26483	  1.17	47.19	57	 -0.13	
601208	东材科技	2.19	0.36	化工原料	2174	5.28	--  	5.60	570401	8805	          9.10	7.66	5.70	5.60	0.044㈢	    94.75	313221376	  1.10	         35.09亿	四川	5.50	5.49	278506	291895	  0.95	5.59	3828	  1.07	
002006	精功科技	1.91	0.34	专用机械	506	5.77	--  	5.89	147681	879	          3.24	3.64	5.98	5.88	0.070㈢	    62.60	87057968	  0.94	         26.76亿	浙江	5.83	5.90	74112	73568	  1.01	5.88	611	 -0.46	
002254	泰和新材	1.83	0.17	化纤	47	11.45	--  	11.69	112039	1709	          1.83	3.48	11.85	11.69	0.231㈢	    37.92	130713488	  1.06	         71.39亿	山东	11.50	11.67	48782	63257	  0.77	11.68	127	 -0.54	
600458	时代新材	1.61	0.34	塑料	27	8.65	--  	8.83	116748	1344	          1.45	3.46	8.95	8.82	0.107㈢	    61.97	102776064	  1.01	         70.81亿	湖南	8.73	8.80	56220	60528	  0.93	8.82	370	  0.49	
000687	华讯方舟	1.56	0.13	通信设备	23	7.68	--  	7.82	165542	685	          2.20	4.94	8.06	7.81	0.065㈢	    89.44	129917504	  1.42	         58.80亿	河北	7.75	7.85	81783	83758	  0.98	7.81	588	 -0.80	
300159	新研股份	1.56	0.69	农用机械	1146	5.76	--  	5.87	412139	3465	          3.54	4.15	6.00	5.87	0.218㈢	    20.19	242208768	  0.94	         68.38亿	新疆	5.84	5.88	209003	203135	  1.03	5.86	870	 -0.81	
600143	金发科技	1.52	0.37	塑料	247	5.26	--  	5.37	344101	4262	          1.34	5.11	5.53	5.36	0.241㈢	    16.69	186452512	  1.23	        137.22亿	广东	5.30	5.42	184681	159420	  1.16	5.36	179	  0.39	
002168	惠程科技	1.42	0.47	电气设备	248	10.52	--  	10.72	203596	4319	          2.58	3.31	10.87	10.72	0.420㈢	    20.09	218167888	  1.21	         84.70亿	深圳	10.57	10.72	95430	108166	  0.88	10.71	812	 -0.95	
000928	中钢国际	1.41	0.20	建筑施工	634	4.96	--  	5.05	237357	3137	          3.19	3.22	5.12	5.04	0.224㈢	    16.86	119970952	  0.85	         37.46亿	吉林	5.00	5.05	110448	126908	  0.87	5.04	1064	 -0.96	
600516	方大炭素	1.16	0.09	矿物制品	4492	22.50	--  	22.72	887895	5147	          5.01	3.83	23.36	22.71	2.530㈢	     6.80	2028726912	  1.03	        402.49亿	甘肃	22.71	22.85	442681	445213	  0.99	22.71	1416	  0.04	
603077	和邦生物	1.01	0.00	化工原料	18987	1.96	--  	2.00	1346342	9065	          1.52	5.05	2.06	2.00	0.051㈢	    29.54	269768192	  1.07	        176.63亿	四川	1.99	2.00	646000	700341	  0.92	1.99	13715	 -0.11	
002297	博云新材	0.97	0.28	矿物制品	271	7.20	--  	7.29	226903	2027	          5.71	2.36	7.37	7.28	0.013㈢	   417.95	165120064	  1.10	         28.94亿	湖南	7.25	7.28	116497	110405	  1.06	7.28	765	 -1.39	
600869	智慧能源	0.76	0.00	电气设备	1136	5.28	--  	5.32	225017	2019	          1.01	2.27	5.40	5.32	0.134㈢	    29.72	120244856	  0.90	        118.07亿	青海	5.30	5.34	111829	113188	  0.99	5.31	657	 -0.36	
300690	双一科技	0.61	0.15	电气设备	13	19.85	--  	19.93	35567	280	          6.80	3.28	20.50	19.93	0.699㈢	    21.39	71843840	  1.10	         10.42亿	山东	20.05	20.20	18790	16777	  1.12	19.91	61	 -1.76	
000420	吉林化纤	0.42	-0.41	化纤	4568	2.35	--  	2.38	358283	5509	          2.15	3.81	2.44	2.37	0.065㈢	    27.37	85486008	  0.66	         39.41亿	吉林	2.36	2.39	191564	166719	  1.15	2.37	1981	 -1.94	
600688	上海石化	0.36	0.00	石油加工	1966	5.46	--  	5.54	257458	2310	          0.35	2.90	5.62	5.54	0.431㈢	     9.65	142756816	  1.25	        406.02亿	上海	5.52	5.54	128991	128466	  1.00	5.53	929	 -0.76	
300035	中科电气	0.18	-0.17	电气设备	1522	5.58	--  	5.62	156579	751	          3.98	3.04	5.75	5.61	0.140㈢	    31.09	88679064	  0.99	         22.07亿	湖南	5.61	5.66	82967	73611	  1.13	5.61	759	 -2.19	
300095	华伍股份	0.17	0.00	机械基件	1327	5.74	--  	5.80	134744	991	          5.61	3.46	5.94	5.79	0.110㈢	    39.63	78509352	  0.99	         13.90亿	江西	5.83	5.83	70752	63992	  1.11	5.79	1123	 -2.19	
002529	海源复材	0.12	0.12	专用机械	821	7.98	--  	8.11	134521	1793	          6.73	3.96	8.30	8.10	0.024㈢	   255.60	109488784	  1.21	         16.20亿	福建	8.09	8.14	73183	61338	  1.19	8.10	181	 -2.24	
600346	恒力股份	0.07	0.13	化纤	137	14.86	--  	14.93	126558	1351	          1.38	2.08	15.17	14.92	0.760㈢	    15.48	189918016	  1.06	        137.17亿	辽宁	14.98	15.01	62895	63662	  0.99	14.92	31	 -1.05	
002048	宁波华翔	-0.63	-0.15	汽车配件	543	12.57	--  	12.62	155551	1106	          2.85	3.39	13.00	12.62	0.805㈢	    11.76	199157696	  1.29	         68.77亿	浙江	12.97	12.80	87448	68102	  1.28	12.61	61	 -2.99	
数据来源:通达信
