代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300008	天海防务	10.14	3.83	船舶	49897	3.38	--  	--  	1319724	39753	         21.91	12.17	3.80	3.80	-1.379㈢	--  	468144736	  1.13	         22.89亿	上海	3.40	3.55	636783	682940	  0.93	3.80	0	  7.78	
002224	三 力 士	5.66	0.28	橡胶	3169	6.88	--  	7.10	744112	3214	         15.77	7.45	7.38	7.09	0.140㈢	    37.71	530535456	  3.88	         33.45亿	浙江	6.90	7.13	315909	428203	  0.74	7.09	1207	  3.30	
002335	科华恒盛	5.60	0.22	电气设备	243	17.18	--  	18.15	92291	1324	          4.10	7.70	18.50	18.10	0.396㈢	    34.24	164343392	  2.03	         40.77亿	福建	17.18	17.81	38252	54039	  0.71	18.10	32	  3.24	
002359	北讯集团	3.06	0.31	通信设备	3111	9.55	--  	9.76	631043	5192	          8.91	4.54	9.98	9.76	0.493㈢	    14.85	618415552	  0.91	         69.11亿	深圳	9.55	9.80	315354	315688	  1.00	9.75	731	  0.70	
000839	中信国安	3.03	0.00	综合类	9508	4.66	--  	4.76	1839058	22573	          4.69	6.06	4.94	4.76	0.001㈢	  2570.12	880746560	  0.93	        186.54亿	北京	4.76	4.79	916047	923010	  0.99	4.75	53	  0.67	
000555	神州信息	2.93	0.34	软件服务	1164	11.75	--  	11.96	388912	3686	          4.16	3.88	12.20	11.95	0.308㈢	    29.14	466352032	  1.14	        111.72亿	深圳	11.75	11.99	193337	195574	  0.99	11.95	926	  0.56	
603019	中科曙光	2.66	0.00	电脑设备	556	47.40	--  	47.92	323690	1699	          5.03	4.50	49.50	47.91	0.270㈢	   132.91	1570715008	  1.28	        308.07亿	天津	48.51	48.53	165686	158003	  1.05	47.91	125	  1.54	
000543	皖能电力	2.22	0.18	火力发电	3186	5.38	--  	5.54	349963	3438	          1.95	3.88	5.59	5.53	0.168㈢	    24.70	192528432	  1.26	         99.01亿	安徽	5.44	5.50	125448	224514	  0.56	5.53	4847	 -0.15	
600105	永鼎股份	1.89	-0.36	通信设备	5694	5.33	--  	5.39	405104	3760	          3.27	3.98	5.54	5.38	0.085㈢	    47.37	220371808	  0.90	         66.62亿	江苏	5.33	5.44	206237	198867	  1.04	5.38	737	  0.77	
600990	四创电子	1.71	0.02	通信设备	43	42.61	--  	43.33	25162	128	          1.84	3.52	44.11	43.32	-0.030㈢	--  	109372512	  1.03	         59.22亿	安徽	42.61	43.47	11780	13382	  0.88	43.32	3	  0.59	
300620	光库科技	1.60	0.05	元器件	44	40.82	--  	41.39	20944	126	          9.52	3.34	42.18	41.39	0.790㈢	    40.57	87178328	  1.10	          9.11亿	广东	40.94	41.62	10568	10375	  1.02	41.34	37	 -0.77	
300297	蓝盾股份	1.22	0.15	软件服务	907	6.55	--  	6.63	570483	2868	          7.34	5.50	6.91	6.63	0.193㈢	    25.74	382612544	  1.16	         51.55亿	广东	6.59	6.71	298200	272283	  1.10	6.62	527	 -1.14	
002089	新 海 宜	1.12	0.00	通信设备	2830	5.35	--  	5.42	901417	6831	          9.63	4.10	5.57	5.42	0.078㈢	    52.09	492252096	  0.78	         50.75亿	江苏	5.41	5.46	490545	410871	  1.19	5.41	935	 -1.25	
600522	中天科技	1.10	0.10	通信设备	3118	10.02	--  	10.08	1095327	9757	          3.57	2.81	10.30	10.08	0.533㈢	    14.19	1115324032	  1.10	        309.06亿	江苏	10.09	10.18	551215	544112	  1.01	10.07	1374	 -0.02	
600120	浙江东方	1.05	0.06	商贸代理	120	16.28	--  	16.41	299902	2493	          4.51	4.19	16.96	16.40	0.647㈢	    19.02	497948160	  1.18	        109.08亿	浙江	16.75	16.60	156991	142910	  1.10	16.40	171	 -0.07	
002222	福晶科技	0.90	-0.15	元器件	1301	12.22	--  	12.34	191215	1031	          4.52	3.52	12.65	12.33	0.307㈢	    30.17	238861952	  1.00	         52.15亿	福建	12.50	12.49	97092	94123	  1.03	12.33	43	 -1.46	
600487	亨通光电	0.83	0.14	通信设备	2808	21.87	--  	21.99	807769	4202	          4.34	3.58	22.65	21.98	1.107㈢	    14.89	1802769536	  1.15	        408.90亿	江苏	22.43	22.32	413474	394295	  1.05	21.98	561	 -0.30	
002115	三维通信	0.49	0.00	通信设备	1726	12.30	--  	12.36	362357	2229	          9.85	4.07	12.80	12.35	0.310㈢	    30.66	455573472	  1.05	         45.41亿	浙江	12.36	12.57	180333	182024	  0.99	12.35	1286	 -1.88	
603703	盛洋科技	0.37	0.00	通信设备	115	10.82	--  	10.91	50237	725	          4.61	3.41	11.19	10.90	-0.027㈢	--  	55072788	  1.03	         11.88亿	浙江	10.99	10.96	29902	20334	  1.47	10.90	119	 -0.75	
002281	光迅科技	0.34	0.06	通信设备	686	31.77	--  	32.02	301061	1992	          4.83	4.33	33.15	32.01	0.410㈢	    59.12	979701056	  1.06	        199.35亿	湖北	32.24	32.54	155882	145178	  1.07	32.01	64	 -2.02	
600764	中国海防	0.11	0.61	通信设备	78	27.60	--  	27.94	24005	202	          0.73	3.05	28.45	27.91	0.064㈢	   328.53	67140056	  0.85	         91.76亿	北京	27.88	27.97	12941	11063	  1.17	27.91	13	 -1.01	
600260	凯乐科技	0.05	0.76	通信设备	104	20.90	--  	21.18	425144	3467	          6.77	4.63	21.88	21.18	1.190㈢	    13.47	912305472	  1.17	        133.07亿	湖北	21.60	21.46	230911	194233	  1.19	21.17	1787	 -1.07	
002126	银轮股份	-0.12	0.00	汽车配件	426	8.47	--  	8.51	197298	1009	          2.57	3.29	8.75	8.51	0.354㈢	    18.02	169496016	  1.56	         65.22亿	浙江	8.70	8.59	113713	83584	  1.36	8.50	52	 -2.48	
000988	华工科技	-0.40	0.13	电器仪表	594	14.80	--  	14.95	464977	2017	          4.63	3.33	15.30	14.94	0.255㈢	    43.93	700768960	  1.19	        150.19亿	湖北	15.25	15.07	262369	202607	  1.29	14.94	784	 -2.76	
603660	苏州科达	-0.72	0.43	通信设备	6	23.35	--  	23.60	106624	173	          4.49	7.03	25.02	23.60	0.400㈢	    45.47	259146224	  1.49	         56.06亿	江苏	24.50	24.30	53250	53373	  1.00	23.53	588	 -1.84	
数据来源:通达信
