代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600748	上实发展	10.04	0.00	全国地产	20800	7.29	--  	--  	545476	2728	          2.96	11.13	8.11	8.11	0.155㈢	    39.17	426197760	  1.65	        149.59亿	上海	7.29	7.81	292061	253414	  1.15	8.11	0	  8.92	
600094	大名城	9.96	0.00	区域地产	45657	5.38	--  	--  	198771	35	          0.87	2.79	5.52	5.52	0.022㈢	   184.21	109139920	  0.92	        125.67亿	上海	5.39	5.49	136609	62162	  2.20	5.52	0	  8.84	
300175	朗源股份	9.92	0.00	食品	131312	5.65	--  	--  	30486	2696	          0.66	0.00	5.65	5.65	0.097㈢	    43.65	17224590	  0.25	         26.08亿	山东	5.65	5.65	23451	7035	  3.33	5.65	0	  7.56	
600240	华业资本	9.63	1.15	全国地产	21754	3.16	--  	3.53	2768794	32255	         19.44	11.80	3.54	3.53	-0.095㈢	--  	936220608	  2.26	         50.28亿	北京	3.35	3.38	1316533	1452261	  0.91	3.52	12137	  8.51	
002679	福建金森	5.25	1.47	林业	1	21.65	--  	22.85	88035	766	          3.73	7.74	23.33	22.85	0.054㈢	   314.61	197237744	  2.22	         53.87亿	福建	21.80	22.40	33634	54401	  0.62	22.74	8	  2.89	
000048	*ST康达	4.71	0.15	饲料	25	19.75	--  	20.70	12333	31	          0.32	5.01	20.74	20.68	0.229㈢	    67.87	25193980	  1.77	         79.70亿	深圳	19.85	20.43	6221	6112	  1.02	20.68	58	  2.34	
600189	吉林森工	3.39	0.00	林业	744	4.41	--  	4.57	104773	2087	          2.46	3.85	4.58	4.57	0.049㈢	    69.37	47171604	  1.24	         19.45亿	吉林	4.44	4.50	40657	64115	  0.63	4.56	5	  2.27	
600506	香梨股份	3.20	1.04	种植业	168	11.15	--  	11.62	45326	1635	          3.07	4.88	11.70	11.62	-0.029㈢	--  	51781304	  1.23	         17.16亿	新疆	11.23	11.42	22128	23198	  0.95	11.59	194	  2.08	
002185	华天科技	2.97	0.18	半导体	4809	5.42	--  	5.55	1010501	5167	          4.74	3.90	5.63	5.54	0.154㈢	    27.05	558492544	  1.04	        118.03亿	甘肃	5.44	5.53	422525	587976	  0.72	5.54	3636	  0.61	
600675	中华企业	2.81	0.16	区域地产	1028	6.10	--  	6.21	137286	720	          0.74	3.15	6.29	6.21	0.170㈢	    29.07	85236520	  1.85	        115.94亿	上海	6.13	6.21	55606	81679	  0.68	6.20	267	  1.69	
002016	世荣兆业	2.55	0.65	区域地产	257	10.58	--  	10.86	236476	5023	          3.44	3.50	10.95	10.85	0.709㈢	    11.48	255478432	  1.09	         74.52亿	广东	10.67	10.80	109009	127467	  0.86	10.85	140	  0.19	
000663	永安林业	2.54	0.16	林业	32	6.30	--  	6.46	59054	914	          2.65	2.54	6.46	6.46	-0.205㈢	--  	37724780	  0.89	         14.40亿	福建	6.32	6.39	26499	32555	  0.81	6.45	39	  0.18	
000736	中交地产	2.41	0.00	全国地产	27	9.00	--  	9.34	103563	1042	          2.32	5.93	9.54	9.33	0.663㈢	    10.55	96794352	  1.29	         41.59亿	重庆	9.16	9.35	46057	57506	  0.80	9.33	7	  0.05	
000735	罗 牛 山	2.34	-0.28	农业综合	4914	13.11	--  	13.58	1380111	33212	         13.02	4.68	13.73	13.57	0.338㈢	    30.07	1851764608	  1.05	        143.79亿	海南	13.20	13.42	676054	704056	  0.96	13.57	3383	 -0.03	
002170	芭田股份	2.17	0.71	农药化肥	1758	4.15	--  	4.23	405640	8742	          6.20	3.14	4.28	4.23	0.007㈢	   478.38	171374432	  0.80	         27.69亿	深圳	4.16	4.22	193990	211649	  0.92	4.22	29	 -0.19	
