代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000908	景峰医药	6.40	0.19	化学制药	2392	5.09	--  	5.32	327695	1779	          4.63	8.20	5.50	5.32	0.133㈢	    30.08	174984128	  1.49	         37.61亿	湖南	5.13	5.34	169341	158354	  1.07	5.31	942	  4.04	
300436	广生堂	4.45	0.22	化学制药	10	26.57	--  	27.01	34146	543	          3.04	6.96	28.37	27.01	0.043㈢	   474.13	93183248	  2.03	         30.36亿	福建	28.37	27.29	18252	15893	  1.15	27.00	47	  2.08	
002693	双成药业	4.22	0.43	化学制药	909	4.53	--  	4.69	138181	1860	          3.43	4.22	4.72	4.69	-0.080㈢	--  	64304004	  1.40	         18.92亿	海南	4.58	4.65	52825	85356	  0.62	4.68	203	  1.86	
600196	复星医药	3.00	0.24	化学制药	448	29.01	--  	29.58	628985	5302	          3.29	3.97	30.15	29.57	0.830㈢	    27.14	1856410752	  1.08	        564.94亿	上海	29.01	29.51	298666	330319	  0.90	29.57	246	  1.87	
600521	华海药业	2.77	0.36	化学制药	126	13.41	--  	13.76	262806	1436	          2.13	5.01	14.08	13.75	0.204㈢	    50.51	360540480	  1.14	        170.02亿	浙江	13.42	13.72	136102	126703	  1.07	13.75	21	  1.64	
600267	海正药业	2.59	0.19	化学制药	321	10.47	--  	10.71	303286	2154	          3.14	6.13	11.11	10.71	0.007㈢	  1090.27	326772384	  1.23	        103.41亿	浙江	10.64	10.77	154788	148498	  1.04	10.70	593	  1.46	
002262	恩华药业	2.32	0.26	化学制药	110	11.22	--  	11.49	397621	2636	          4.50	5.61	11.85	11.48	0.515㈣	    22.31	459951840	  1.17	        101.50亿	江苏	11.22	11.57	197262	200359	  0.98	11.48	185	 -0.05	
601607	上海医药	2.13	0.43	医药商业	122	18.41	--  	18.74	216848	1456	          1.13	2.62	18.89	18.74	1.190㈢	    11.85	405214656	  1.09	        360.36亿	上海	18.45	18.69	99839	117009	  0.85	18.73	120	  1.00	
002020	京新药业	1.93	0.20	化学制药	171	9.90	--  	10.02	108979	305	          1.85	3.15	10.21	10.02	0.470㈢	    15.97	109510456	  1.01	         58.97亿	浙江	9.90	10.05	61637	47341	  1.30	10.01	210	 -0.43	
600079	人福医药	1.74	0.36	化学制药	656	10.95	--  	11.13	230474	409	          1.79	3.39	11.32	11.12	0.430㈢	    17.41	257483120	  1.11	        143.01亿	湖北	10.98	11.17	118504	111970	  1.06	11.12	23	  0.62	
