代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002381	双箭股份	10.07	0.00	橡胶	33385	7.66	--  	--  	185582	116	          5.58	9.93	8.42	8.42	0.370㈣	    23.07	151990528	  2.18	         28.00亿	浙江	7.66	8.19	86373	99208	  0.87	8.42	0	  7.70	
600748	上实发展	10.04	0.00	全国地产	20800	7.29	--  	--  	545476	2728	          2.96	11.13	8.11	8.11	0.155㈢	    39.17	426197760	  1.65	        149.59亿	上海	7.29	7.81	292061	253414	  1.15	8.11	0	  8.92	
600682	南京新百	10.00	0.00	百货	34529	11.59	--  	--  	163467	77	          1.63	9.22	12.65	12.65	-1.070㈢	--  	201758608	  0.88	        126.77亿	江苏	11.59	12.34	97511	65956	  1.48	12.65	0	  8.88	
002231	奥维通信	9.96	0.00	通信设备	1550	7.80	--  	--  	339560	1134	         11.10	7.73	8.39	8.39	-0.013㈢	--  	275796544	  1.98	         25.66亿	辽宁	7.93	8.12	170959	168601	  1.01	8.39	0	  7.60	
600716	凤凰股份	9.21	0.21	区域地产	700	4.37	--  	4.86	559888	2313	          6.15	11.91	4.90	4.86	-0.035㈢	--  	264544304	  2.41	         44.24亿	江苏	4.47	4.72	302198	257690	  1.17	4.85	692	  8.09	
000722	湖南发展	8.64	-0.12	水力发电	234	7.32	--  	7.92	313570	1389	          6.76	9.60	8.02	7.92	0.169㈢	    35.14	245619120	  1.67	         36.76亿	湖南	7.34	7.83	142819	170750	  0.84	7.91	792	  6.28	
300212	易华录	6.05	0.15	软件服务	743	25.51	--  	26.63	182115	1009	          4.30	7.93	27.50	26.63	0.250㈢	    81.65	485816448	  1.23	        112.87亿	北京	25.59	26.68	86938	95176	  0.91	26.62	123	  3.69	
000150	宜华健康	5.84	0.08	医疗保健	681	12.21	--  	13.04	482512	3842	          8.38	10.47	13.50	13.04	0.328㈢	    29.80	614141376	  1.43	         75.07亿	广东	12.50	12.73	248514	233997	  1.06	13.03	685	  3.48	
000961	中南建设	5.21	0.24	建筑施工	229	7.76	--  	8.28	791296	3524	          2.14	8.77	8.45	8.28	0.342㈢	    18.18	647502912	  1.33	        306.35亿	江苏	7.83	8.18	398056	393239	  1.01	8.27	4834	  2.85	
300168	万达信息	5.20	-0.41	软件服务	2889	13.56	--  	14.17	600851	5414	          5.51	8.25	14.67	14.16	0.150㈢	    76.82	839646656	  1.50	        154.52亿	上海	13.62	13.97	289039	311812	  0.93	14.16	169	  2.84	
