代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002189	利达光电	9.99	0.84	元器件	1205	19.01	--  	--  	183487	1781	          9.33	7.34	20.37	20.37	0.220㈢	    82.09	366178336	  1.62	         40.07亿	河南	19.69	19.96	95982	87504	  1.10	20.37	0	  7.62	
002273	水晶光电	7.10	0.69	元器件	141	12.35	--  	13.12	569146	5654	          7.00	8.49	13.39	13.12	0.470㈢	    20.97	726853440	  1.73	        106.65亿	浙江	12.49	12.77	258807	310339	  0.83	13.11	4908	  4.74	
600172	黄河旋风	6.23	0.47	矿物制品	5850	4.02	--  	4.27	1064048	9776	          9.30	7.73	4.33	4.26	0.070㈢	    45.66	443104544	  1.68	         48.76亿	河南	4.02	4.16	486986	577061	  0.84	4.26	2899	  5.11	
002008	大族激光	4.97	0.65	电器仪表	7	40.23	--  	42.00	388593	1994	          3.91	5.92	42.60	42.00	1.550㈢	    20.29	1618060672	  1.38	        417.19亿	深圳	40.25	41.64	208377	180215	  1.16	41.99	1023	  2.61	
603185	上机数控	4.15	0.34	机床制造	591	55.87	--  	58.69	89335	1181	         28.36	6.44	59.50	58.68	1.374㈢	    32.03	513334816	  1.54	         18.48亿	江苏	56.68	57.46	43343	45992	  0.94	58.68	1	  3.03	
300128	锦富技术	3.88	-0.19	元器件	796	4.70	--  	5.10	1461790	17309	         13.72	12.45	5.31	5.09	-0.014㈢	--  	726079040	  1.12	         54.24亿	江苏	4.91	4.97	679669	782121	  0.87	5.09	5639	  1.51	
300395	菲利华	3.76	-0.09	玻璃	329	18.21	--  	19.04	78786	660	          2.93	8.45	19.76	19.03	0.400㈢	    36.65	149701648	  1.47	         51.21亿	湖北	18.26	19.00	32078	46707	  0.69	19.03	70	  1.40	
300433	蓝思科技	3.44	0.00	元器件	1535	8.80	--  	9.03	778535	5255	          1.99	6.88	9.40	9.02	0.270㈢	    24.95	708454144	  1.44	        352.71亿	湖南	8.80	9.10	376921	401614	  0.94	9.02	2324	  1.08	
600468	百利电气	3.28	0.34	电气设备	1096	5.80	--  	6.00	115267	664	          1.42	4.66	6.07	5.99	0.058㈢	    78.06	68699904	  1.19	         48.59亿	天津	5.81	5.96	57441	57826	  0.99	5.99	685	  2.15	
002199	东晶电子	2.59	0.28	元器件	181	10.40	--  	10.71	38515	321	          1.70	6.32	11.06	10.71	-0.075㈢	--  	41453956	  1.45	         24.22亿	浙江	10.47	10.76	21954	16561	  1.33	10.70	31	  0.22	
300316	晶盛机电	2.54	0.00	专用机械	159	14.10	--  	14.51	428164	1669	          3.57	8.20	15.26	14.51	0.350㈢	    31.36	626498304	  1.19	        173.87亿	浙江	14.35	14.63	215117	213047	  1.01	14.50	366	  0.18	
000969	安泰科技	2.50	-0.15	钢加工	120	6.01	--  	6.17	192745	955	          2.13	3.66	6.23	6.16	-0.078㈢	--  	118624928	  0.83	         55.74亿	北京	6.01	6.15	91710	101035	  0.91	6.16	241	  0.13	
603595	东尼电子	2.14	0.38	元器件	17	41.20	--  	42.01	21731	228	          4.37	4.60	43.09	42.00	0.736㈢	    42.82	92040976	  1.15	         20.91亿	浙江	41.20	42.35	11014	10717	  1.03	42.00	1	  1.02	
002006	精功科技	1.91	0.34	专用机械	506	5.77	--  	5.89	147681	879	          3.24	3.64	5.98	5.88	0.070㈢	    62.60	87057968	  0.94	         26.76亿	浙江	5.83	5.90	74112	73568	  1.01	5.88	611	 -0.46	
002617	露笑科技	1.87	0.23	电气设备	4887	4.25	--  	4.36	572989	4459	          5.47	5.85	4.50	4.35	0.148㈢	    22.09	251374144	  1.08	         45.53亿	浙江	4.28	4.39	292446	280543	  1.04	4.35	2714	 -0.49	
002388	新亚制程	1.64	0.18	元器件	378	5.49	--  	5.57	96245	456	          2.41	3.28	5.67	5.57	0.045㈢	    92.68	53933588	  0.84	         22.26亿	深圳	5.51	5.60	44702	51543	  0.87	5.56	564	 -0.72	
002049	紫光国微	1.62	0.24	元器件	560	37.83	--  	38.21	352403	2741	          5.83	4.41	39.49	38.21	0.474㈢	    60.44	1360887680	  1.21	        231.02亿	河北	38.29	38.62	176809	175594	  1.01	38.20	79	 -0.74	
000413	东旭光电	1.40	0.17	元器件	11896	5.71	--  	5.80	2587803	43325	          5.32	4.55	5.97	5.80	0.230㈢	    18.95	1507967232	  1.04	        282.12亿	河北	5.77	5.83	1333941	1253862	  1.06	5.79	2017	 -0.97	
600666	奥瑞德	1.33	0.26	元器件	1195	3.76	--  	3.81	882562	11603	         11.11	5.87	3.98	3.80	-0.004㈢	--  	338401792	  0.85	         30.20亿	黑龙江	3.77	3.83	438696	443865	  0.99	3.80	1497	  0.21	
002635	安洁科技	1.31	0.07	电脑设备	2232	14.50	--  	14.71	259443	1570	          7.09	3.99	15.08	14.71	0.570㈢	    19.11	383059104	  1.06	         53.82亿	江苏	14.52	14.76	130104	129338	  1.01	14.70	53	 -1.06	
300285	国瓷材料	1.12	0.05	陶瓷	4	19.41	--  	19.80	100042	285	          2.45	4.90	20.37	19.80	0.870㈣	    23.42	198806320	  1.13	         80.92亿	山东	19.80	19.87	45592	54449	  0.84	19.79	208	 -1.24	
600703	三安光电	1.07	0.14	半导体	3636	14.02	--  	14.19	1272194	5819	          3.12	4.35	14.63	14.18	0.636㈢	    16.72	1820013696	  1.10	        578.32亿	湖北	14.17	14.31	598354	673840	  0.89	14.18	1373	 -0.05	
300102	乾照光电	1.06	0.15	半导体	675	6.63	--  	6.69	209316	3504	          2.96	2.87	6.82	6.68	0.220㈢	    23.66	141021712	  0.87	         47.26亿	福建	6.67	6.74	109703	99612	  1.10	6.68	685	 -1.31	
