代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300203	聚光科技	10.02	0.00	环境保护	568	26.37	--  	--  	318027	644	          7.04	9.18	28.77	28.77	0.928㈢	    23.26	898723328	  3.72	        129.94亿	浙江	26.50	28.26	158936	159090	  1.00	28.77	0	  7.65	
600288	大恒科技	9.95	0.00	软件服务	49086	9.17	--  	--  	36645	105	          0.84	0.00	9.17	9.17	0.072㈢	    95.07	33603364	  0.32	         40.05亿	北京	9.17	9.17	32578	4066	  8.01	9.17	0	  8.83	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
002030	达安基因	6.75	0.00	生物制药	992	11.86	--  	12.50	357802	1950	          4.68	8.71	12.88	12.50	0.098㈢	    95.28	441462112	  1.61	         95.48亿	广东	11.86	12.34	165426	192376	  0.86	12.49	1455	  4.38	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
002299	圣农发展	6.54	-0.02	农业综合	138	27.30	--  	29.00	259319	2515	          2.33	9.11	29.78	29.00	0.649㈢	    33.52	747192704	  0.91	        322.16亿	福建	27.50	28.81	115303	144015	  0.80	28.99	1776	  4.17	
600071	凤凰光学	5.12	1.26	元器件	56	10.86	--  	11.29	43149	1228	          1.82	7.17	11.63	11.29	-0.018㈢	--  	48315540	  1.30	         26.81亿	江西	11.02	11.20	28114	15034	  1.87	11.20	690	  4.00	
300271	华宇软件	4.11	-0.09	软件服务	147	19.10	--  	19.76	158322	533	          2.83	6.22	20.28	19.76	0.410㈢	    36.59	311335808	  1.04	        110.47亿	北京	19.30	19.66	86138	72183	  1.19	19.75	32	  1.75	
002161	远 望 谷	4.02	0.00	通信设备	1640	6.51	--  	6.74	571250	3472	          8.18	8.66	7.07	6.73	-0.107㈢	--  	380567776	  1.68	         47.01亿	深圳	6.54	6.66	269080	302170	  0.89	6.73	567	  1.65	
600602	云赛智联	3.84	0.00	软件服务	1534	6.36	--  	6.49	171602	859	          1.66	4.96	6.67	6.49	0.133㈢	    36.68	112390032	  1.58	         67.07亿	上海	6.36	6.55	89505	82096	  1.09	6.48	718	  2.72	
000701	厦门信达	3.63	0.00	综合类	675	6.91	--  	7.14	148173	1047	          3.64	5.52	7.29	7.14	-0.060㈢	    35.00	105587368	  1.82	         29.03亿	福建	6.96	7.13	69654	78518	  0.89	7.13	175	  1.26	
600850	华东电脑	3.34	1.49	软件服务	2	19.23	--  	19.80	92256	1926	          2.18	4.91	20.17	19.80	0.600㈢	    25.02	181545504	  1.80	         83.95亿	上海	19.34	19.68	46509	45746	  1.02	19.69	220	  2.22	
002477	雏鹰农牧	2.46	0.00	农业综合	7851	2.41	--  	2.51	2359465	36194	         11.97	6.56	2.57	2.50	-0.277㈢	--  	590545024	  0.88	         49.27亿	河南	2.44	2.50	1051147	1308318	  0.80	2.50	13946	  0.09	
300260	新莱应材	2.15	0.44	机械基件	77	11.04	--  	11.39	73353	1404	          5.77	3.95	11.48	11.39	0.191㈣	    59.55	82718704	  1.24	         14.48亿	江苏	11.19	11.28	34752	38600	  0.90	11.38	692	 -0.21	
300012	华测检测	1.97	0.00	电器仪表	655	8.10	--  	8.28	429626	2313	          2.86	5.30	8.53	8.27	0.097㈢	    63.67	357980480	  1.22	        124.44亿	深圳	8.13	8.33	200021	229604	  0.87	8.27	718	 -0.39	
300165	天瑞仪器	1.47	0.00	电器仪表	102	4.76	--  	4.85	157641	1213	          5.00	4.19	4.96	4.84	0.104㈢	    35.00	76562408	  1.34	         15.25亿	江苏	4.80	4.86	76889	80751	  0.95	4.84	660	 -0.90	
000662	天夏智慧	1.08	-0.14	软件服务	238	6.48	--  	6.54	151196	827	          4.04	3.55	6.71	6.54	0.124㈢	    39.54	99666024	  1.01	         24.48亿	广西	6.51	6.59	72014	79182	  0.91	6.53	1331	 -1.28	
000061	农 产 品	1.02	0.00	农业综合	242	5.85	--  	5.92	211972	3160	          1.25	3.75	6.07	5.92	0.028㈢	   159.51	126540936	  1.43	        100.34亿	深圳	5.85	5.97	100814	111157	  0.91	5.91	406	 -1.34	
000530	大冷股份	0.75	0.00	机械基件	389	4.00	--  	4.04	212984	2534	          3.56	2.75	4.11	4.03	0.087㈢	    34.71	86276128	  0.84	         24.09亿	辽宁	4.04	4.05	107925	105059	  1.03	4.03	1252	 -1.61	
300469	信息发展	0.57	-0.08	软件服务	14	21.30	--  	21.33	47068	904	          4.85	4.43	22.24	21.32	0.090㈢	   267.40	102586440	  1.11	         20.70亿	上海	21.61	21.80	26056	21011	  1.24	21.32	41	 -1.80	
002637	赞宇科技	0.50	0.25	日用化工	227	8.06	--  	8.10	61280	551	          2.37	1.74	8.20	8.10	0.356㈢	    17.07	49840496	  1.26	         20.94亿	浙江	8.10	8.13	31367	29913	  1.05	8.09	336	 -1.87	
300306	远方信息	-0.23	0.00	电器仪表	574	8.75	--  	8.81	89047	1021	          6.06	5.67	9.25	8.80	0.004㈢	  1612.82	80046632	  1.14	         12.92亿	浙江	8.86	8.99	53141	35906	  1.48	8.80	189	 -2.59	
000997	新 大 陆	-0.28	0.00	软件服务	2191	17.45	--  	17.55	207602	741	          2.07	3.87	18.13	17.54	0.470㈢	    28.66	369630432	  1.09	        176.18亿	福建	17.76	17.80	106760	100841	  1.06	17.54	41	 -2.65	
600271	航天信息	-0.42	0.14	电脑设备	83	28.06	--  	28.46	313197	2134	          1.70	5.92	29.75	28.45	0.460㈢	    46.51	909003904	  1.26	        525.42亿	北京	28.85	29.02	168345	144851	  1.16	28.45	86	 -1.54	
数据来源:通达信
