代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600425	青松建化	10.10	0.00	水泥	168450	4.36	--  	--  	904031	5054	          6.56	2.71	4.47	4.47	0.328㈢	    10.22	403698400	  1.33	         61.63亿	新疆	4.47	4.47	675339	228692	  2.95	4.47	0	  8.98	
002080	中材科技	9.51	0.00	化纤	689	11.74	--  	12.78	331059	1887	          5.17	9.43	12.84	12.78	0.578㈢	    16.60	413728704	  2.34	         81.79亿	江苏	11.80	12.50	155533	175525	  0.89	12.77	807	  7.15	
603063	禾望电气	7.10	0.19	电气设备	2521	9.97	--  	10.57	359696	6033	         14.09	8.22	10.78	10.56	0.103㈢	    76.69	372865440	  1.60	         26.96亿	深圳	10.35	10.37	189279	170417	  1.11	10.56	607	  5.98	
603985	恒润股份	5.48	0.33	机械基件	100	26.30	--  	27.73	18156	310	          2.73	5.79	27.82	27.71	1.000㈢	    23.14	49559780	  1.13	         18.44亿	江苏	26.30	27.30	8053	10102	  0.80	27.71	1	  4.36	
300443	金雷股份	4.62	0.27	专用机械	88	14.13	--  	14.94	62447	1038	          3.92	5.74	14.95	14.94	0.347㈢	    32.28	90970136	  1.19	         23.82亿	山东	14.28	14.57	26652	35794	  0.74	14.93	176	  2.26	
603507	振江股份	4.58	0.47	钢加工	7	26.16	--  	27.62	22714	284	          2.83	5.53	27.62	27.62	0.490㈢	    43.32	61070428	  1.50	         22.20亿	江苏	26.43	26.89	7476	15238	  0.49	27.61	68	  3.46	
600505	西昌电力	3.77	0.85	水力发电	152	6.99	--  	7.15	118994	1633	          3.26	5.52	7.37	7.15	0.131㈢	    40.80	85239840	  1.25	         26.07亿	四川	6.99	7.16	64409	54585	  1.18	7.14	655	  2.65	
002202	金风科技	3.26	0.00	电气设备	259	13.95	--  	14.55	600709	2651	          2.10	7.52	15.01	14.55	0.670㈢	    16.04	868766336	  1.42	        415.37亿	新疆	14.15	14.46	286011	314697	  0.91	14.54	209	  0.90	
002689	远大智能	3.16	0.58	运输设备	585	5.01	--  	5.22	482224	4427	          4.63	7.71	5.40	5.22	-0.012㈢	--  	251685424	  0.85	         54.33亿	辽宁	5.11	5.22	237551	244672	  0.97	5.21	98	  0.80	
002130	沃尔核材	2.80	0.00	电气设备	1503	4.26	--  	4.40	660362	9296	          6.98	9.35	4.66	4.40	0.113㈢	    29.09	291125632	  1.46	         41.63亿	深圳	4.30	4.41	313428	346934	  0.90	4.39	952	  0.44	
000862	银星能源	2.36	0.58	新型电力	4655	6.56	--  	6.94	1212097	15768	         24.18	8.86	7.16	6.93	0.085㈢	    61.44	832590144	  0.92	         34.74亿	宁夏	6.79	6.87	626060	586037	  1.07	6.93	1928	 -0.00	
300274	阳光电源	2.27	0.26	电气设备	742	11.39	--  	11.71	544826	8550	          5.11	5.41	12.01	11.71	0.420㈢	    21.10	638033984	  0.97	        124.82亿	安徽	11.51	11.71	283710	261115	  1.09	11.70	1632	 -0.09	
002164	宁波东力	2.22	0.55	电气设备	2596	3.57	--  	3.68	287511	6300	          6.54	3.61	3.70	3.68	-4.564㈢	--  	104778976	  0.99	         16.19亿	浙江	3.62	3.64	133109	154401	  0.86	3.67	1021	 -0.14	
600765	中航重机	2.12	-0.09	机械基件	305	9.92	--  	10.11	218580	2031	          2.81	3.33	10.25	10.11	0.428㈣	    23.61	219805088	  0.85	         78.66亿	贵州	9.92	10.06	114350	104230	  1.10	10.10	1168	  1.00	
600605	汇通能源	1.94	-0.35	商贸代理	2775	10.79	--  	11.05	29501	40	          2.00	3.33	11.15	11.01	0.121㈣	    91.21	32466164	  1.21	         16.22亿	上海	10.81	11.01	15432	14068	  1.10	11.01	193	  0.82	
