代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000665	湖北广电	10.06	0.00	影视音像	65741	8.94	--  	--  	68222	50	          1.07	2.99	9.19	9.19	0.324㈢	    21.29	62549400	  0.90	         58.46亿	湖北	8.95	9.17	50761	17460	  2.91	9.19	0	  7.70	
600774	汉商集团	6.11	0.22	百货	33	12.78	--  	13.55	31904	253	          1.41	9.95	14.05	13.55	0.049㈢	   209.17	43001080	  2.01	         30.73亿	湖北	12.89	13.48	15265	16638	  0.92	13.54	98	  4.99	
002194	*ST凡谷	5.00	0.00	通信设备	5184	11.15	--  	--  	148303	17	          2.80	1.76	11.34	11.34	-0.094㈢	--  	167617712	  1.24	         60.14亿	湖北	11.16	11.30	83746	64556	  1.30	11.34	0	  2.64	
600421	ST仰帆	4.22	1.02	机械基件	146	8.52	--  	8.89	7868	485	          0.40	4.34	8.89	8.89	-0.024㈢	--  	6830761	  0.91	         17.39亿	湖北	8.52	8.68	4130	3737	  1.11	8.86	44	  3.10	
600885	宏发股份	4.15	1.24	电气设备	18	25.59	--  	26.84	67908	367	          0.91	5.47	27.00	26.84	0.790㈢	    25.48	180707024	  1.39	        199.89亿	湖北	25.81	26.61	31601	36306	  0.87	26.83	14	  3.03	
600136	当代明诚	2.54	0.32	影视音像	542	9.11	--  	9.29	92232	534	          2.06	3.76	9.45	9.28	0.267㈢	    26.06	85857112	  1.27	         41.63亿	湖北	9.18	9.31	36880	55352	  0.67	9.28	282	  1.42	
300161	华中数控	2.08	-0.06	机床制造	443	13.33	--  	13.72	58701	616	          3.50	4.09	13.88	13.72	-0.342㈢	--  	80041328	  1.14	         23.04亿	湖北	13.51	13.64	26147	32553	  0.80	13.71	15	 -0.28	
000759	中百集团	2.06	0.31	超市连锁	81	6.31	--  	6.45	81527	828	          1.20	3.64	6.54	6.45	0.687㈢	     7.04	52251780	  1.19	         43.90亿	湖北	6.31	6.41	35175	46352	  0.76	6.44	304	 -0.31	
600079	人福医药	1.74	0.36	化学制药	656	10.95	--  	11.13	230474	409	          1.79	3.39	11.32	11.12	0.430㈢	    17.41	257483120	  1.11	        143.01亿	湖北	10.98	11.17	118504	111970	  1.06	11.12	23	  0.62	
600168	武汉控股	1.68	-0.14	水务	383	6.54	--  	6.65	69103	526	          0.97	2.60	6.71	6.64	0.321㈢	    15.53	45857452	  1.25	         47.12亿	湖北	6.56	6.64	30548	38555	  0.79	6.64	227	  0.56	
002414	高德红外	1.45	0.68	电器仪表	92	25.94	--  	26.62	107703	1479	          2.26	6.60	27.67	26.61	0.155㈢	   128.69	289018464	  0.98	        126.69亿	湖北	26.23	26.83	53840	53863	  1.00	26.61	39	 -0.92	
600355	精伦电子	1.36	0.22	元器件	1185	4.43	--  	4.48	436308	3157	          8.87	4.30	4.62	4.48	0.008㈢	   398.49	196689920	  0.96	         22.05亿	湖北	4.55	4.51	239276	197032	  1.21	4.47	3415	  0.24	
002305	南国置业	1.23	0.00	区域地产	2528	3.27	--  	3.31	375616	3585	          2.31	3.99	3.40	3.30	0.017㈢	   144.46	124866944	  0.83	         53.57亿	湖北	3.30	3.32	191122	184493	  1.04	3.30	2758	 -1.14	
000883	湖北能源	1.21	0.48	火力发电	576	4.11	--  	4.17	196711	1212	          0.30	2.67	4.22	4.17	0.267㈢	    11.70	82140512	  1.05	        271.24亿	湖北	4.12	4.18	94887	101823	  0.93	4.16	422	 -1.15	
600035	楚天高速	1.18	0.00	路桥	2697	3.41	--  	3.44	162765	889	          1.07	2.35	3.49	3.44	0.284㈢	     9.08	56189220	  0.89	         52.52亿	湖北	3.42	3.45	84500	78264	  1.08	3.43	241	  0.05	
300184	力源信息	1.09	0.39	元器件	108	10.12	--  	10.24	222003	2110	          7.17	4.05	10.53	10.24	0.466㈢	    16.49	229346208	  1.07	         31.72亿	湖北	10.30	10.33	105341	116662	  0.90	10.23	115	 -1.28	
300323	华灿光电	1.06	0.12	半导体	1407	8.50	--  	8.62	301327	3528	          4.29	4.46	8.88	8.61	0.510㈢	    14.26	262960272	  0.94	         60.48亿	湖北	8.55	8.73	158313	143014	  1.11	8.61	3	 -1.31	
600879	航天电子	1.06	0.30	航空	5721	6.62	--  	6.71	685643	5691	          2.84	2.71	6.80	6.70	0.126㈢	    39.89	460128288	  1.07	        161.69亿	湖北	6.68	6.71	351287	334355	  1.05	6.70	1617	 -0.07	
600133	东湖高新	1.04	0.15	园区开发	1048	6.75	--  	6.79	291023	2232	          4.88	2.98	6.95	6.79	0.240㈢	    19.78	199278480	  0.76	         40.53亿	湖北	6.81	6.85	145895	145128	  1.01	6.78	2457	 -0.08	
000852	石化机械	0.96	-0.11	化工机械	557	8.30	--  	8.44	224367	2487	          3.75	5.03	8.72	8.43	-0.061㈢	--  	189890496	  1.34	         50.42亿	湖北	8.38	8.46	121856	102510	  1.19	8.43	580	 -1.41	
600068	葛洲坝	0.84	0.28	建筑施工	11045	7.14	--  	7.20	937250	3903	          2.04	3.50	7.39	7.20	0.510㈢	     8.92	681776576	  1.08	        331.54亿	湖北	7.20	7.27	496590	440659	  1.13	7.19	3552	 -0.28	
000785	武汉中商	0.78	0.09	百货	209	11.50	--  	11.70	370442	3838	         14.75	9.14	12.56	11.69	0.376㈢	    23.29	443890464	  1.15	         29.35亿	湖北	11.59	11.98	181249	189193	  0.96	11.69	519	 -1.59	
300220	金运激光	0.57	0.00	元器件	95	12.26	--  	12.30	29759	130	          2.38	3.44	12.68	12.28	0.057㈣	   216.65	37169256	  1.31	         15.34亿	湖北	12.40	12.49	18109	11650	  1.55	12.28	9	 -1.79	
